Sphinx 2.2.10-id64-release (2c212e0)
Copyright (c) 2001-2015, Andrew Aksyonoff
Copyright (c) 2008-2015, Sphinx Technologies Inc (http://sphinxsearch.com)

using config file '/data/server/gaojian/sphinx/sphinx.conf'...
dumping dictionary for index 'talent_index'...
keyword,docs,hits,offset
帄,15,19,219832399
帅,1154,1360,325914187
帆,1436,1796,175263707
帇,3,3,27115848
师,176713,622118,231146670
希,26257,32193,221769403
帎,1,1,171318548
帏,5,5,1939170
帐,11369,25011,199771143
帒,1,1,142115691
帔,1,1,198914443
帕,701,1006,374033657
帖,1693,3324,146407466
帘,344,483,186490128
帚,2,2,156085637
帛,93,145,39389697
帜,207,231,194433772
帝,2263,3277,355114674
帟,1,1,42049612
帡,40,127,320918863
带,54230,101237,93562173
帧,861,1385,74244071
師,54,113,84666403
帬,1,1,233973589
席,10312,16751,310600803
帮,34005,53783,108596360
帯,28,41,81743462
帰,6,6,263171044
帱,1,1,280465950
帲,4,4,127858746
帳,41,91,65514461
帴,8,9,255423355
帶,36,94,136955799
帷,169,222,59054846
常,104404,237636,267787602
帺,1,3,125443051
帼,48,58,278479316
帽,745,1245,294366981
帾,1,1,113346727
幀,1,1,196999715
幂,33,33,147666611
幃,1,5,27982408
幄,60,63,206411148
幅,4336,5429,367488026
幆,2,2,140201925
幇,5,5,33582578
幌,33,53,185045150
幍,1,1,363943790
幓,2,2,21452871
幔,13,15,211490950
幕,5699,10941,329580027
幖,1,1,176694510
幘,1,1,225448961
幙,1,1,341461140
幛,2,4,3690878
幜,1,1,227017438
幡,6,6,287927862
幢,770,1783,135484096
幣,7,16,60901213
幤,1,1,261450904
幥,1,1,287231035
幦,1,1,129601015
幨,1,1,275897129
幫,14,18,51604415
幮,1,1,119206607
幯,1,2,50534284
干,35986,58669,89008618
平,112390,408085,79551595
年,226861,1673274,244032243
幵,5,9,321662420
并,153110,646233,99696883
幷,4,9,68037664
幸,4713,6018,233020200
幹,12,16,315283559
幺,17,32,110823902
幻,2381,3779,81709021
幼,3884,7837,241183998
幽,1856,2021,306732388
幾,8,8,104931594
广,118222,483683,86875672
庀,1,1,235696705
庁,11,17,311374401
広,14,25,82689779
庄,31004,39613,236736092
庆,20198,45309,105497668
庇,6,6,85565841
庉,1,1,317227305
床,5859,14941,92501033
庋,3,3,73035770
庌,1,2,246499493
序,42972,98177,71209509
庐,511,718,277647666
庑,5,6,294080282
库,66740,232926,56558859
应,203642,746767,266005219
底,189484,238795,302076955
庖,24,25,124546270
店,61876,217552,46626561
庙,383,467,292836980
庚,233,359,137675141
庛,1,1,59067730
府,40220,69567,263440406
庝,2,2,282176359
庞,1537,1838,128625674
废,5100,9027,65684525
庠,8,8,222205913
庡,16,17,346712737
庢,3,3,171351713
庥,2,2,335921721
度,137184,542313,164379250
座,10725,18260,12009670
庨,6,6,219798284
庩,1,1,325913038
庪,1,1,175240931
庫,71,124,27111640
庭,9181,14004,329823201
庮,1,1,180893196
庳,1,1,41417472
庵,33,36,361777312
庶,35,64,156069647
康,23070,43299,39243296
庸,379,427,199147481
庹,7,15,374941488
庾,19,25,142138603
廃,5,8,51147575
廇,1,1,51849698
廈,4,8,260316913
廉,1104,1421,286753131
廊,3269,5794,128635959
廌,1,1,259815706
廑,5,10,306587823
廓,147,249,86771538
廖,651,991,110266428
廗,2,2,81037384
廜,3,3,253810810
廝,1,1,317175191
廟,2,2,80814041
廠,32,75,185396630
廢,7,15,159597026
廣,47,134,34960846
廤,1,1,196032704
廨,1,1,206409371
廬,1,2,196720063
廭,1,1,378585688
廮,1,2,146932360
廯,1,1,27607915
廳,3,4,7710023
廴,3,3,225420923
延,7827,10954,170627853
廷,612,885,3666528
建,147505,953319,177024846
廻,2,2,20978006
廽,2,2,327127928
廿,46,74,21466240
开,193393,1215111,361777663
弁,12,18,186492022
异,26565,43793,39390229
弃,3045,3729,156070291
弄,1222,1288,355126043
弈,367,459,372679623
弊,1095,2162,32672772
弋,83,105,142115227
弎,1,1,27983010
式,94067,244203,146415839
弑,14,15,231146576
弒,2,2,8681422
弓,131,230,163808072
引,37070,72736,221896133
弗,650,1010,171315033
弘,1483,2186,330975389
弛,154,169,183441301
弟,2238,2828,175252322
张,25320,33062,303990035
弢,4,5,47771471
弥,1058,1143,278479600
弦,304,594,57203283
弧,1031,1361,113341877
弩,18,21,263170931
弬,1,1,292153199
弮,1,1,59055822
弯,623,841,136952368
弱,4295,8898,236711713
弲,2,2,84666692
弳,1,1,105450045
弴,8,30,310648846
張,61,102,233973270
強,122,196,108755215
弸,1,3,320918853
弹,3092,5210,246514263
强,135576,293756,71926643
弻,8,30,94655269
弼,23,26,317839958
弽,44,133,252732071
弾,3,3,74244051
弿,36,195,93810912
彀,1,1,341461133
彁,32,59,225448968
彂,4,5,3690894
彃,5,8,170665463
彄,12,47,340789021
彅,1,1,227017430
彆,1,1,8677058
彇,1,4,166491464
彈,2,2,326939056
彉,2,2,217321709
彋,19,154,176505348
彌,33,104,329606852
彏,44,278,176694517
彐,1,1,351771226
归,17486,26294,46281939
当,66547,113104,148331903
彔,2,2,363943778
录,50075,105905,185045340
彗,17,18,159554551
彙,12,12,196999637
彛,11,12,147666813
彜,1,4,367488015
彝,254,367,206411510
形,45203,81765,81501259
彣,1,2,110824004
彤,411,492,306730266
彥,3,3,241202507
彦,1696,2058,87392372
彧,4,83,104931568
彩,11057,23202,253586897
彪,352,385,79549793
彬,1300,1612,321656398
彭,1608,1985,244939981
彯,1,3,99696874
彰,1850,2313,297199251
影,54096,106981,275897136
彲,45,120,51604503
彴,3,4,301707664
彷,33,38,119206614
彸,5,5,287927833
役,670,1357,259914136
彻,6729,8850,135451555
彼,1310,1733,287231042
彿,5,7,129601022
往,19077,25170,292839131
征,9353,15550,257036896
徂,3,3,59067708
径,6135,8404,282146800
待,61743,92293,263628781
徆,1,1,65709128
徇,16,16,128625572
很,61384,104924,294080321
徉,8,9,277647607
徊,46,46,56558580
律,42691,95345,113137328
後,135,210,302076205
徐,9475,13217,317187258
徑,4,4,251820353
徒,1377,1695,73035792
従,27,184,92500884
徕,119,163,246498816
得,94268,220241,93964285
徘,43,43,311374139
徙,60,95,235696713
徚,3,6,82689861
徛,1,1,109423895
徜,8,9,309582978
徝,4,4,236736068
從,75,189,85565455
徟,44,406,105587630
御,2627,4212,199149637
徤,1,1,372684652
徦,37,136,32705082
徧,4,14,142138714
徨,25,31,354030730
復,59,307,192694323
循,4306,6041,41417478
徫,37,270,153527378
徬,3,15,361777514
徭,1,3,186489679
微,33167,92718,39096372
徯,2,2,156069849
徰,1,1,325913045
徱,2,2,219798272
徲,1,2,27111631
徳,15,23,175240938
徴,7,12,329823155
徵,8,9,210029367
德,34296,59782,180735796
徹,5,5,222205883
徻,1,1,171351729
徼,1,1,335921713
徽,9877,17529,232253064
忂,1,1,68456568
心,139735,388555,100354051
忄,1,1,317175177
必,14457,19579,253810829
忆,1276,1692,80814054
忈,1,1,306587853
忊,1,1,86771530
忌,216,302,313839555
忍,1309,1593,232359397
忎,7,7,81037395
忏,2,2,110266415
忐,17,18,286753021
忑,17,18,260316938
忒,11,41,63611865
忓,4,4,128635936
忔,104,930,287417037
忕,6,6,259815673
忖,1,1,60856322
志,33871,63432,134859579
忘,1613,2032,302043954
忙,2366,2739,269383613
忚,46,110,51147608
忛,1,1,119372751
応,110,198,297513810
忞,2,2,51849683
忠,8022,9324,329752514
忤,1,1,327127940
忦,1,1,21466233
忧,1557,2084,176521490
忨,1,1,339826858
忪,3,3,7710046
快,74603,134317,165788152
忭,1,1,225420916
忱,1174,1232,206402963
念,21132,29563,196720073
忺,1,1,34960840
忻,454,605,159597075
忼,1,1,353814572
忽,398,463,196032710
怀,4471,5741,190163541
态,136223,220086,355164436
怂,31,106,151794742
怃,1,1,43519934
怅,2,2,358058630
怆,1,1,158219070
怈,1,1,197640094
怎,2322,3473,142789380
怒,317,404,173215835
怔,8,9,231031348
怕,3468,4225,337602916
怖,105,136,161177616
怘,1,1,220217247
怛,1,1,24318279
怜,25,27,208036675
思,57615,88770,331509094
怠,281,356,279533144
怡,2159,2758,293101799
急,11072,17331,304648656
怦,2,2,122968785
性,225821,1057686,48816678
怨,2107,2555,257312868
怪,1187,2336,138960740
怮,1,1,127825738
怯,86,104,67025964
怰,1,1,233968083
怱,1,1,311953114
怵,2,2,308080061
怶,1,1,106630285
怸,1,1,250388088
总,114656,424509,74646496
怼,12,13,247978533
怾,1,1,96217494
怿,22,22,70061657
恁,13,18,338698386
恂,1,1,166491474
恃,26,82,6206067
恆,6,6,168369297
恇,1,1,4164287
恋,957,1455,19593391
恍,32,48,328228052
恐,496,716,184273168
恒,13247,24916,159250424
恕,64,87,351050394
恖,1,1,151792537
恙,15,17,367579821
恚,18,19,139259407
恜,1,1,197082275
恞,1,1,147666873
恡,1,1,306932835
恢,2901,4636,103039155
恣,2,2,87992981
恤,151,183,233146073
恧,2,2,80827120
恨,59,62,242613504
恩,4268,5749,323081607
恪,532,541,98361800
恫,2,2,69336202
恬,66,107,254011173
恭,121,136,315547977
息,116186,397738,79046078
恰,970,1164,272511117
恲,1,1,122105561
恳,10900,11860,50480569
恶,1285,1648,118255462
恷,1,2,52417107
恸,1,1,261453333
恺,462,549,129601076
恻,9,10,63107280
恼,284,305,258907370
恽,3,3,289184243
恿,4,5,62253809
悂,2,2,125527240
悄,77,133,257103699
悅,6,8,290355173
悉,80652,184654,305947198
悊,30,45,124349961
悋,1,1,50180662
悌,13,14,280045056
悍,145,170,293262859
悎,47,482,118058165
悏,2,4,55649825
悐,1,1,249848852
悑,4,12,320087226
悓,49,327,71115904
悔,237,262,251805200
悕,38,235,318675216
悖,26,26,91864560
悗,13,14,77284448
悘,6,25,238403549
悙,5,10,307725112
悚,21,21,105680663
悛,1,1,83705523
悜,46,852,233920944
悝,1,1,311374621
悞,49,400,107894792
悟,3421,3720,82691326
悠,750,1107,203375599
悡,1,2,371207395
悢,2,18,142694063
患,3255,5983,30938320
悥,5,73,374943262
悦,4625,7487,143267117
您,8709,13542,188505976
悩,2,2,358599934
悪,44,328,158273225
悫,1,1,37457693
悬,1026,2352,191893598
悯,5,5,45178331
悰,17,56,210028967
悱,2,2,332114001
悲,157,175,179941099
悳,8,19,16878768
悴,2,2,220222100
悵,7,21,323641282
悶,46,300,175498453
悸,10,10,227990852
悻,3,3,12061297
悼,28,36,224213927
悽,1,1,344336459
惁,2,2,315446392
惃,1,1,77807017
惄,2,2,242179056
情,115718,239490,322346696
惆,3,3,98358021
惇,4,4,69331776
惊,1250,1403,112419367
惋,9,10,80989885
惌,1,1,240842175
惎,4,4,103061532
惑,998,1152,289336143
惒,1,1,132289379
惓,1,1,62282470
惔,1,1,262404939
惕,23,23,286564214
惘,7,9,273835781
惙,1,1,299432580
惚,1,3,118142352
惛,1,1,52200152
惜,938,1016,271095988
惟,154,191,50216112
惠,12653,22963,215728606
惡,2,2,327802556
惣,1,1,23344011
惦,7,7,177937086
惧,599,645,18566456
惨,71,73,225020768
惩,2789,3537,343809120
惫,97,105,4174026
惬,45,45,227547777
惭,9,9,339407960
惮,11,11,166658066
惯,10247,12235,7633966
惰,103,104,197281071
想,33731,53762,27319352
惴,5,5,204469258
惵,3,56,369098063
惶,26,37,139294508
惹,49,162,349859726
惺,30,53,149690441
惽,1,1,366685837
愀,6,7,323486102
愁,107,114,220217373
愅,3,9,208036655
愇,1,1,179741715
愈,259,375,344497537
愉,1508,1626,224404509
愋,1,1,173215828
愍,3,4,230332688
愎,4,4,13535144
意,221244,395646,161184811
愐,1,1,377109486
愕,4,4,203436738
愘,1,1,355799148
愚,132,157,43519187
愛,17,26,151794892
愞,2,2,37018099
感,39799,57809,158030275
愠,1,2,318166701
愣,2,2,90750501
愤,158,185,320084415
愦,2,2,70061781
愧,140,159,96216672
愨,2,2,311953134
愫,9,9,108478387
愬,49,166,308067073
愭,16,21,238499644
愮,15,16,84538285
愯,9,25,106630003
愰,4,4,290356749
愿,18919,30410,123668070
慆,1,1,27217467
慇,3,3,147668700
慈,1364,2063,366948014
慊,1,1,35795244
態,35,47,159250049
慌,108,110,351393501
慎,3737,3954,46262153
慐,1,1,329062418
慑,20,22,215250566
慕,697,927,216325990
慖,2,2,23372868
慗,1,1,176021885
慛,1,1,166497204
慟,1,1,168369289
慠,2,2,284589462
慢,2884,4647,63093534
慣,3,3,129603573
慧,7069,12513,132256280
慨,75,85,301684775
慭,1,1,273932613
慮,4,4,52429350
慰,780,883,323077336
慵,8,8,254010858
慶,19,27,79044867
慷,44,47,90489172
慺,1,1,87993164
憀,1,1,307725712
憂,3,3,83705387
憄,2,2,311374498
憈,1,1,320087405
憉,1,1,249848845
憊,1,1,71115897
憋,2,2,97049140
憌,3,3,318674656
憍,1,1,251820335
憎,7,7,77290544
憏,2,2,91861202
憑,4,5,266005189
憔,1,1,293263703
憘,1,1,282176483
憙,12,16,262434158
憛,2,2,125527184
憞,3,3,57384488
憠,1,4,335921740
憡,38,112,228905371
憢,22,62,12062560
憣,45,332,160036536
憤,1,1,344340103
憦,44,373,1246297
憧,274,290,172479264
憨,66,71,332113607
憩,49,56,210029053
憪,3,11,16878813
憫,2,2,179938233
憬,290,298,323644933
憭,12,26,220222021
憮,45,657,24449739
憯,45,559,175500486
憰,1,1,358600022
憱,9,68,188505930
憲,37,164,37328107
憳,41,145,158273519
憴,8,77,356832852
憵,22,44,191898906
憶,51,448,45178363
憷,1,1,153385658
憸,1,1,371207517
憺,40,176,30938135
憾,273,293,29408947
懀,7,8,299432586
懂,7265,8854,52164833
懃,2,2,118142368
懄,1,5,300888831
懇,2,2,119965981
懈,2093,2246,289394709
應,46,149,259769977
懊,5,5,62269578
懋,92,113,132298313
懌,1,3,286559925
懍,1,2,262404946
懎,2,2,63410078
懑,2,2,233269401
懒,401,501,80992566
懕,1,2,240841560
懗,1,1,103061986
懘,1,1,315446229
懡,4,4,196267685
懢,2,2,45237300
懣,1,1,149690435
懤,1,1,366686310
懥,43,270,183484118
懦,15,15,35775830
懧,7,7,159237356
懬,13,39,369248487
懭,13,24,204469193
懮,1,1,34455993
懲,27,42,4172671
懵,99,142,227550329
懶,2,2,7688991
懷,2,2,166630282
懸,9,9,327802576
懾,1,1,18569822
懿,216,238,177935980
戆,4,5,238500050
戇,3,3,308080076
戈,711,1105,90634274
戊,36,41,250388095
戌,18,19,96217694
戍,34,37,70075062
戎,142,189,247965349
戏,38741,190367,319802198
成,181860,987294,115879927
我,220896,835633,54276612
戒,464,737,279525759
戔,1,1,122968761
戕,1,1,48559648
或,40094,66431,263939654
战,56505,119371,138261980
戚,257,307,257385563
戛,36,72,290365513
戜,9,11,127837018
戝,19,28,67096274
戟,18,20,283828188
戠,13,13,173215603
戡,3,3,1291314
戢,13,13,224418874
戣,2,2,344880673
戦,12,17,230305549
戧,1,1,337601071
截,4544,6562,220193904
戫,1,1,323478900
戬,14,14,179046027
戮,20,27,208036848
戰,22,36,151794330
戲,7,17,190185901
戳,92,128,355801699
戴,2860,4318,158219077
戶,73,202,188443696
户,222867,1163629,356951512
戸,13,16,145767023
戻,5,6,375488635
戽,1,1,31338387
戾,1,1,203445389
房,73355,297276,371609852
所,113552,298524,121602543
扁,431,528,50399484
扄,1,1,118265093
扅,1,1,52516073
扆,2,2,273920201
扇,509,840,299452749
扈,24,24,129605209
扉,64,69,63107511
手,167755,402708,283828959
扌,1,1,132246581
才,100948,157791,61838821
扎,13102,14500,258909757
扏,2,2,289184262
扑,1647,3087,87984735
扒,63,78,240738927
打,60264,92026,306932938
扔,58,76,110824293
払,15,29,80827183
扗,2,2,312821376
托,41947,81940,98413886
扛,156,160,322892551
扣,4309,6334,366927100
扥,1,1,46260918
扦,33,40,196708591
执,80272,195851,351397179
扩,17545,26932,33597589
扪,9,9,204434324
扫,19454,23313,367966172
扬,8634,12221,147672321
扭,874,1233,27217807
扮,981,1281,196999723
扯,161,180,377272082
扰,2324,3180,166497246
扱,2,2,6206276
扳,71,104,338697976
扶,1991,2836,224714954
扷,1,1,342646062
批,47014,87874,19371106
扻,1,1,329579841
扼,70,79,176044924
找,31733,45131,216175377
承,42896,67671,328025304
技,188789,905072,179942054
抂,1,1,210028945
抃,3,3,332113557
抄,1143,1726,175492405
抈,1,1,160036242
抉,94,101,12060431
把,36236,59867,228925005
抋,1,4,335925791
抑,444,575,30963914
抒,102,112,202703862
抓,6562,10277,371175347
抔,1,1,142891671
投,96184,308022,28981213
抖,149,183,197621037
抗,14910,17637,374943290
折,6641,9180,158241129
抚,2202,3077,188546924
抛,624,798,359197659
抜,2,2,153527248
択,10,34,191893525
抟,3,5,356832746
抠,181,300,97046130
抡,1,2,70095019
抢,2719,3924,249849156
护,124076,335224,91864719
报,118143,454691,77290674
抦,1,2,251803760
抨,7,7,106037377
披,1333,2526,307708445
抬,155,222,107882817
抯,14,34,311375709
抱,2708,3203,66309402
抲,1,1,262436095
抵,3033,4877,57384561
抸,2,2,124350108
抹,187,239,50181485
抻,1,1,305879088
押,2754,5562,118041934
抽,8051,12633,55577883
拂,17,19,197288240
拄,14,16,139307275
担,69921,145230,34541677
拆,5132,8541,204434940
拇,153,331,369097029
拈,17,17,149690925
拉,15951,28837,45808927
拊,6,10,196101047
拋,1,2,348912395
拌,549,952,159234247
拍,15061,25892,35676638
拎,41,46,183574846
拐,112,140,175983712
拑,19,25,22909507
拒,1050,1324,215787082
拓,45328,88419,327808709
拔,6320,8060,178031014
拕,1,1,18570743
拖,3016,4145,213719679
拗,8,10,328423858
拘,363,407,169691294
拙,124,133,4573232
拚,29,30,225020447
招,95424,298812,343380125
拜,12753,20067,166570478
拟,26423,51373,339408092
拠,6,16,132308047
拡,7,10,62284031
拢,340,391,259542524
拣,853,1585,289331690
拥,23102,30986,63291405
拦,1169,1922,262416963
拧,89,213,286697023
拨,4464,6836,118108042
择,19995,29388,52069022
拫,1,1,299440976
括,80353,203625,119966516
拭,60,84,50367084
拮,4,9,271095960
拯,112,145,300753359
拰,47,175,90068861
拱,734,912,77834765
拲,5,5,253898448
拳,994,1472,315373370
拴,13,16,98357688
拶,1,2,242179077
拷,352,476,322889878
拸,27,92,112153231
拹,24,72,80989754
拻,38,107,313824443
拼,5232,6997,103062191
拽,430,557,88760462
拾,431,553,240781309
拿,8526,12201,307534271
挀,8,31,57658401
持,97136,236438,138523089
挂,5339,8620,290366084
挃,7,55,257385483
挅,40,267,127826590
挆,1,1,283811025
指,72507,164974,262585754
挈,11,11,54276537
按,44185,81976,116642551
挋,3,3,279525734
挌,42,226,48576575
挍,2,2,122916331
挎,7,7,304724551
挐,2,2,74646322
挑,28746,33226,90493866
挒,10,12,318166712
挖,19860,35143,319976729
挗,2,2,247965242
挘,9,13,83676844
挙,2,2,108487288
挚,329,354,311950831
挛,46,194,233958735
挜,1,1,83706465
挝,127,346,106629335
挞,30,32,308080172
挟,19,25,238499726
挠,240,256,30098084
挡,1350,1864,145759858
挢,2,2,375189627
挣,325,369,197638177
挤,525,778,31335501
挥,10740,14438,142736215
挨,72,99,43514816
挪,395,610,355799516
挫,1384,1470,190185961
挭,1,1,158232808
振,3415,4910,188427870
挱,4,4,175457025
挲,3,4,323478913
挹,2,2,173215807
挺,631,732,344890538
挽,921,1224,162192791
挿,2,2,230332538
捁,1,1,98605989
捂,4,4,322893481
捅,11,14,90462196
捆,542,702,315549911
捉,1071,1229,103022175
捋,34,36,240738720
捌,66,104,80827297
捍,37,39,110824068
捎,11,25,312821305
捏,78,93,233145491
捐,1180,1840,63107883
捔,44,143,61740657
捕,1639,2278,132247807
捖,4,58,289184292
捗,38,58,258909359
捜,6,14,52438389
捝,1,5,118265121
捞,280,484,299455558
损,7347,11777,273885235
捡,192,269,179038955
换,107302,147566,329062475
捣,92,119,215255437
捤,1,1,23372883
捥,1,1,176174311
捦,1,1,328227101
捧,154,166,216172746
捨,1,1,6206326
捫,43,410,227017444
捬,3,5,4163242
捭,3,3,167318186
据,134890,742333,342646076
捱,4,4,139249572
捲,4,5,368063948
捶,9,10,377160763
捷,16269,23936,197004954
捺,2,2,366947999
捻,22,28,184273010
捽,1,1,151774260
捾,1,1,351397171
掀,206,401,37326959
掂,1,2,358600029
掃,5,63,188790232
掇,3,3,191893497
授,16741,31068,30966376
掉,1865,2457,142695324
掊,2,2,371175333
掌,53531,97841,28564241
掍,8,8,143257603
掏,84,178,197407533
掐,19,19,12060284
掑,1,1,160036522
排,73185,152684,336036522
掓,2,2,228905536
掔,25,47,1247194
掕,3,3,172507565
掖,145,300,344335387
掘,33042,51319,16878857
掛,17,27,209906409
掟,1,1,220222969
掠,70,117,50180901
採,26,57,124546111
探,9891,13537,305897212
掣,4,4,266001167
掤,1,1,55616092
接,113872,302076,117536459
控,96333,335323,280045144
推,142108,382938,65719639
掩,132,161,125525748
措,10672,16424,282832510
掬,6,6,57492110
掰,15,20,83706345
掲,3,4,307708079
掳,3,3,238402887
掴,1,1,82691119
掷,48,61,233922628
掺,72,121,320092493
掼,12,13,77290590
揀,1,1,4574006
揂,2,3,343380093
揃,3,4,225020737
揅,2,2,166630268
揆,1,1,339530750
揇,1,1,227673457
揈,3,4,23308941
揉,34,36,175978433
揊,1,1,327808389
揋,1,1,215793047
揍,1,1,178063128
揎,1,1,328423923
描,217290,1330283,212821883
提,132997,504881,45237521
揑,1,1,149691038
插,6843,11914,348912406
揔,1,1,35775822
揕,1,1,159232778
揖,36,64,366686415
揗,1,1,184177929
揙,1,2,148314939
揚,6,12,378581381
換,35,44,197287908
揝,3,5,139294701
揟,3,6,204460726
握,56777,102707,112153359
揣,248,259,233889265
揧,1,1,240841553
揩,2,2,90076936
揪,20,35,315446122
揭,2496,4259,98345642
揮,8,12,322889824
揲,2,2,299433055
揳,1,1,273845645
援,3416,5441,50217409
揵,1,1,120324050
揶,3,4,300888811
揼,1,1,63291398
揽,1119,1490,130799295
揿,1,1,262404971
搀,1,1,304144576
搁,208,242,268253207
搂,38,43,47772170
搅,470,818,278943400
搆,1,1,57226709
搊,1,1,65464276
搋,2,2,127858081
損,11,14,255190553
搏,1913,2167,136613308
搐,1,1,309421520
搓,25,31,105449746
搔,2,2,310600691
搖,3,9,81721450
搜,32601,83804,317840562
搞,2047,2594,74250990
搡,1,1,186849955
搥,1,1,194439871
搦,1,1,43090850
搩,11,18,199759586
搪,100,357,32672173
搬,2871,4644,374019407
搭,30358,64902,198776857
搱,1,2,231146452
搲,37,106,8677065
搳,16,23,163806067
搴,56,124,345753591
搵,32,64,221747924
搶,42,129,1919135
搷,2,2,171315014
搸,12,17,330983460
搹,2,2,211490700
携,2847,4671,15197714
搻,44,343,183466730
搽,5,9,219838530
搾,10,10,27117231
搿,1,4,175270905
摀,44,311,315280334
摁,1,1,233017013
摃,2,2,110777075
摄,11393,23239,306587885
摅,2,2,241183747
摆,2510,3260,86863001
摇,1108,2286,104924740
摈,23,27,315769422
摉,45,578,253638298
摊,1807,2608,80174098
摌,1,1,321687569
摍,18,102,244947936
摎,44,474,68086112
摐,1,1,297348003
摑,17,99,276545761
摒,172,188,51605247
摓,12,243,119120048
摔,123,153,301707830
摖,4,21,50535879
摘,1232,1810,287901117
摞,4,4,64775873
摟,1,1,129331423
摡,1,1,225421232
摢,2,2,3690492
摤,3,4,340789000
摥,1,1,227017229
摧,43,47,166490684
摨,1,1,327123911
摩,26200,45886,217983556
摭,1,1,211491036
摮,1,1,19926395
摯,1,1,176694984
摰,1,1,351771248
摱,2,2,194461044
摳,1,1,148641950
摴,1,1,363979834
摸,3115,4695,378936110
摹,85,93,196998938
摺,3,4,27662827
摻,2,3,147326912
摼,2,2,367487395
摾,1,1,33572636
摿,38,222,140186521
撀,1,1,374523659
撁,4,6,199143254
撂,31,66,28564086
撄,2,2,372684507
撅,2,2,199919072
撇,29,32,142116031
撏,5,27,156070250
撐,1,1,325913998
撑,7190,13044,219798317
撒,248,330,27112683
撔,1,1,329866942
撕,82,114,210069557
撗,12,20,180893218
撘,3,3,346712717
撙,1,1,222069283
撛,1,1,171350848
撞,841,1426,12005263
撟,1,3,164375252
撢,2,2,59055992
撤,1530,2019,281738611
撥,1,1,263425079
撨,1,1,294364131
撩,49,1932,277650610
撬,135,259,302839851
播,44800,102159,266842932
撮,267,395,46946286
撯,1,1,124546421
撰,27264,60251,317264576
撲,2,2,73053310
撳,15,20,92527401
撵,2,4,246499503
撶,2,2,71742868
撷,10,13,94655174
撸,46,97,311356840
撹,10,21,235695773
撼,164,198,309582033
撾,1,1,84666732
撿,1,1,105478434
擀,4,4,329823092
擁,5,18,212080345
擂,106,161,20986557
擅,18030,22581,218104518
擇,7,8,176548631
擊,2,2,7710010
擋,2,2,164982578
操,65354,132473,225121415
擎,10548,22979,3148734
擒,24,24,33131741
擔,17,34,378582392
擗,7,8,146922448
擘,26,26,364293698
據,40,100,34972759
擞,20,21,46601610
擢,20,20,68456646
擤,1,1,317186041
擦,519,745,80821588
擧,1,1,90057709
擨,2,2,306587811
擪,1,1,86668654
擬,13,17,313837374
擮,1,1,81037356
擴,7,11,287416989
擵,1,1,259810305
擺,2,2,51308700
擻,1,1,119372758
擾,1,1,51851350
攀,1256,1791,247022282
攂,1,1,94665181
攇,1,1,74261618
攎,1,1,108510290
攐,1,1,263170898
攑,1,1,280465920
攒,425,483,127855679
攘,6,7,268254585
攜,1,1,278943382
攝,5,8,295336041
攞,1,1,113346739
攢,1,1,183466723
攣,1,1,15211832
攤,1,1,219833744
攥,178,258,326474655
攦,1,1,175276050
攨,1,1,231146569
攫,11,12,8677231
攬,3,3,221747785
支,82833,228264,1551272
攰,1,1,199759579
攳,12,13,32672107
攴,3,3,198914422
攵,1,1,373760383
收,99964,259783,145919471
攸,34,46,186849754
改,76011,200829,362687550
攺,1,1,156085651
攻,7050,10746,39513778
攼,1,1,194439906
攽,1,1,355132367
放,42937,85817,154832088
政,88682,241556,43090864
敁,8,8,287927316
敃,2,2,60876471
故,14934,29427,287162019
敆,2,2,129331410
敇,1,1,64775898
效,89920,262585,276147545
敉,5,5,297348009
敊,3,3,119120106
敋,9,17,51605200
敌,500,1016,269058563
敏,18684,23578,50535928
敐,38,301,253638559
救,2463,4373,315753076
敒,11,14,89373518
敓,3,4,80206566
敕,4,4,321687583
敖,113,122,100349435
敗,4,4,68086084
教,224880,429846,314226046
敚,12,19,110777015
敛,631,694,81447730
敝,11,18,306641092
敞,230,300,104930271
敟,1,1,86862694
敢,9938,11639,147277537
散,5398,7222,27662883
敤,35,57,206409392
敦,2016,3268,140186683
敧,2,2,33572624
敩,1,1,351771233
敫,2,2,46391802
敬,24415,26390,185276430
敭,2,2,363979842
敮,7,7,159582734
数,131089,704806,217398029
敲,754,935,176506598
敳,45,267,21452888
整,112793,333286,211491042
敶,1,1,176694977
敷,362,507,19926402
數,49,114,225420958
敹,1,1,341458581
敺,1,1,170665216
敼,7,21,227017390
敽,1,1,340780967
斀,1,1,222069363
斁,2,3,346712702
斄,44,374,232007447
文,169179,528024,11304947
斈,1,1,219832094
斉,4,10,325913053
斊,1,1,175241955
斋,159,223,27114789
斌,2101,2554,210060264
斎,1,1,180933014
斏,44,144,14173601
斐,471,602,192936822
斑,219,365,354051832
斓,30,34,41439126
斔,1,3,186489828
斕,1,3,361777534
斖,1,4,156070127
斗,7355,12239,39354653
斘,1,1,199140918
料,93103,251438,374523699
斛,22,51,28221401
斜,606,908,199919636
斝,43,139,372684321
斞,2,3,142116009
斟,95,101,32693119
斡,55,63,311357093
斢,6,6,109423863
斤,350,529,236734113
斥,355,412,309577442
斧,62,84,84668214
斩,233,270,317397075
斫,1,1,73043104
断,45110,69839,320697063
斯,19444,34724,71742880
新,193447,713515,277650833
斶,10,25,124546992
斷,11,11,46899905
方,160149,703709,292156233
於,148,223,263424256
施,76173,365393,281746564
